Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost%
Jared Koenig,MIL,RP,64.1,65,4,1,3.58,1.22,25,56,22,7,64,0,3,0,3%
Kevin Ginkel,ARI,RP,60.0,62,4,9,3.82,1.28,25,54,23,6,59,0,3,0,6%
Hunter Harvey,CHC,RP,51.7,56,3,4,3.41,1.13,20,44,15,5,51,0,2,0,1%
Caleb Thielbar,CHC,RP,61.8,64,4,1,3.69,1.19,25,53,20,8,65,0,3,0,1%
Orion Kerkering,PHI,RP,58.3,63,4,1,3.49,1.21,23,50,21,6,59,0,3,0,2%
Ben Brown,CHC,"SP,RP",67.4,73,4,0,3.82,1.21,29,60,22,8,42,3,4,0,1%
Cole Sands,MIN,"SP,RP",67.0,65,4,4,3.94,1.22,29,62,20,8,65,0,3,0,1%
Kumar Rocker,TEX,SP,97.8,88,5,0,4.23,1.29,46,95,32,13,30,17,6,0,1%
Luis Gil (NYY - SP) MiLB,,,102.3,101,6,0,4.36,1.34,50,87,50,14,38,14,5,0,11%
Kyle Leahy,STL,RP,117.1,97,6,0,4.29,1.35,56,116,41,14,46,16,7,0,2%
Eduard Bazardo,SEA,RP,66.4,68,3,1,3.68,1.19,27,56,23,8,65,0,3,0,2%
Tyler Rogers,TOR,RP,69.0,48,4,3,3.7,1.21,28,68,15,7,71,0,3,0,20%
Aaron Civale,ATH,"SP,RP",126.0,108,7,0,4.71,1.32,66,126,40,21,24,23,8,0,1%
Shawn Armstrong,CLE,RP,66.9,66,3,3,3.8,1.2,28,60,21,8,66,0,3,0,3%
Kyle Harrison,MIL,"SP,RP",95.8,95,5,0,4.26,1.32,45,88,38,13,27,17,5,0,6%
Drew Anderson,DET,RP,76.5,84,4,0,4.02,1.27,34,66,32,9,46,5,4,0,0%
Bryan Baker,TB,RP,63.3,71,3,2,3.84,1.2,27,53,23,8,64,0,3,0,1%
Lucas Erceg,KC,RP,63.4,60,4,5,3.77,1.28,27,57,24,6,63,0,4,0,6%
Kirby Yates,LAA,RP,55.9,67,3,11,4.02,1.28,25,45,26,8,57,0,3,0,11%
Davis Martin,CWS,SP,149.3,116,7,0,4.62,1.36,77,151,52,21,28,28,10,0,0%
Taylor Rogers,MIN,RP,58.2,61,3,16,4.12,1.34,27,53,25,7,60,0,3,0,2%
Robert Gasser (MIL - SP) MiLB,,,72.9,68,4,0,3.96,1.24,32,67,23,9,33,9,4,0,1%
Steven Okert,HOU,RP,62.6,71,3,0,3.85,1.19,27,52,23,9,64,0,3,0,1%
Yimi Garcia,TOR,RP,53.2,59,3,4,3.73,1.19,22,44,19,7,53,0,3,0,1%
Kyle Finnegan,DET,RP,63.3,60,4,4,3.92,1.27,28,58,22,7,63,0,3,0,8%
Hunter Barco,PIT,"SP,RP",88.6,82,5,0,4.13,1.34,41,82,37,10,34,12,4,0,1%
Bryce Elder,ATL,SP,117.4,96,7,0,4.53,1.37,59,121,39,15,25,20,7,0,1%
Johan Oviedo,BOS,SP,95.9,92,5,0,4.3,1.34,46,87,41,12,32,15,5,0,3%
Hunter Gaddis,CLE,RP,63.4,61,3,3,3.89,1.21,27,57,20,9,61,0,3,0,9%
Aaron Ashby,MIL,RP,74.1,76,4,1,3.73,1.36,31,65,36,6,59,2,4,0,1%
Matt Svanson,STL,RP,63.5,59,3,6,3.73,1.29,26,58,24,6,58,0,3,0,4%
Brad Lord,WSH,"SP,RP",94.7,75,5,3,4.32,1.33,45,94,32,11,49,10,6,0,0%
Kutter Crawford,BOS,SP,73.4,70,4,0,4.26,1.22,35,68,21,12,39,6,4,0,0%
Keegan Akin,BAL,"SP,RP",65.5,66,4,2,4.02,1.27,29,59,24,9,64,0,3,0,1%
Mark Leiter Jr.,ATH,RP,62.0,67,4,6,4.13,1.31,28,57,24,8,63,0,4,0,1%
A.J. Minter,NYM,RP,48.5,54,3,1,3.46,1.17,19,40,17,5,49,0,2,0,1%
Tyler Wells,BAL,SP,68.5,62,4,0,4.27,1.18,32,63,18,12,43,4,4,0,1%
Richard Fitts (STL - SP) MiLB,,,118.0,91,6,0,4.53,1.34,59,120,38,17,30,21,7,0,0%
Robby Snelling (MIA - SP) MiLB,,,85.8,76,5,0,4.14,1.34,39,84,31,11,16,16,5,0,4%
Andre Pallante,STL,SP,130.1,91,7,0,4.34,1.41,63,134,50,13,29,23,9,0,0%
Paul Sewald,ARI,RP,57.2,57,3,12,4.42,1.25,28,52,19,9,58,0,3,0,11%
"Joe Boyle (TB - SP,RP) MiLB",,,79.8,88,4,0,4.06,1.35,36,65,43,9,27,12,5,0,1%
Cody Bradford,TEX,SP,67.8,58,4,0,4.19,1.19,32,65,16,10,31,8,4,0,0%
Ryan Weiss,HOU,SP,82.9,80,5,0,4.31,1.32,40,77,32,11,37,9,5,0,0%
Luis Morales,ATH,SP,114.0,101,6,0,4.58,1.36,58,108,46,18,27,20,7,0,1%
Janson Junk,MIA,"SP,RP",89.0,65,5,0,4.31,1.28,43,94,20,11,38,11,5,0,0%
Anthony Kay,CWS,"SP,RP",132.3,110,6,0,4.5,1.39,66,132,53,18,36,21,9,1,1%
Justin Sterner,ATH,RP,64.9,66,3,7,4.26,1.26,31,58,24,10,62,0,3,0,3%
Sean Burke,CWS,"SP,RP",141.0,133,7,0,4.78,1.4,75,136,62,23,26,26,10,0,2%
Graham Ashcraft,CIN,RP,64.1,58,4,2,3.83,1.3,27,62,22,7,59,0,3,0,1%
Drew Pomeranz,LAA,"SP,RP",56.5,61,3,3,3.89,1.23,24,50,20,7,59,0,3,0,2%
Gregory Soto,PIT,RP,60.4,65,3,4,3.8,1.3,25,54,25,5,64,0,3,0,1%
Brandon Sproat,MIL,SP,87.5,74,5,0,4.23,1.33,41,83,34,10,29,14,5,0,3%
Miles Mikolas,WSH,SP,144.3,95,7,0,4.81,1.32,77,157,33,24,27,27,10,0,0%
Chris Paddack,MIA,"SP,RP",131.0,99,6,0,4.76,1.32,69,139,34,22,31,23,8,0,1%
Jacob Latz,TEX,"SP,RP",101.3,97,5,0,4.35,1.38,49,91,49,13,44,11,5,0,1%
Blake Treinen,LAD,RP,53.5,60,4,1,3.88,1.26,23,47,21,7,54,0,3,0,1%
Andrew Nardi,MIA,RP,53.7,65,3,0,3.72,1.23,22,45,21,6,55,0,3,0,0%
Ryan Thompson,ARI,RP,61.7,51,4,4,3.92,1.29,27,61,19,6,62,0,3,0,0%
Ben Joyce,LAA,RP,47.0,53,2,10,3.73,1.27,19,38,21,5,46,0,2,0,1%
Brooks Raley,NYM,RP,56.6,57,3,1,3.77,1.22,24,49,20,6,59,0,3,0,1%
Justin Slaten,BOS,RP,59.8,56,4,1,3.93,1.26,26,55,20,7,57,0,3,0,0%
Rhett Lowder,CIN,SP,113.4,88,6,0,4.56,1.35,57,117,37,16,28,20,7,0,3%
Jordan Leasure,CWS,RP,63.2,71,3,5,4.18,1.29,29,53,28,9,65,0,4,0,1%
Lucas Giolito (SP) FA,,,111.4,100,6,0,4.63,1.37,57,109,44,17,22,20,7,0,2%
Victor Vodnik,COL,RP,62.9,60,3,19,4.31,1.46,30,62,30,7,61,0,4,0,4%
Angel Zerpa,MIL,RP,59.6,55,3,0,3.66,1.26,24,55,20,6,60,0,3,0,0%
Aaron Bummer,ATL,RP,59.9,62,3,0,3.65,1.3,24,56,22,5,57,0,3,0,0%
Andrew Painter,PHI,SP,111.5,97,6,0,4.66,1.37,58,113,41,17,29,20,7,0,23%
Griffin Canning,SD,SP,97.8,86,5,0,4.48,1.35,49,95,37,15,27,17,6,0,0%
Brad Keller,PHI,RP,66.6,61,4,2,4.02,1.33,30,62,27,7,61,0,3,0,8%
Tanner Banks,PHI,RP,62.2,58,3,0,3.95,1.23,27,59,18,8,61,0,3,0,1%
Colin Rea,CHC,"SP,RP",82.4,65,5,0,4.44,1.3,41,83,24,12,37,8,4,0,1%
Erik Miller,SF,RP,59.2,64,3,2,3.64,1.36,24,49,31,5,60,0,3,0,0%
Jakob Junis,TEX,RP,63.0,54,3,0,4.06,1.21,28,60,16,8,57,0,3,0,0%
Tony Santillan,CIN,RP,68.0,72,3,4,4.2,1.33,32,60,30,9,69,0,3,0,8%
Calvin Faucher,MIA,RP,63.1,63,3,6,4.06,1.35,28,59,27,7,64,0,4,0,1%
Eric Lauer,TOR,"SP,RP",66.6,62,4,0,4.3,1.27,32,63,22,10,41,4,4,0,4%
Tobias Myers,NYM,"SP,RP",66.2,56,4,0,4.14,1.28,30,65,20,9,43,4,3,0,0%
Jordan Romano,LAA,RP,56.9,61,3,5,4.28,1.28,27,51,22,8,57,0,3,0,1%
J.T. Ginn,ATH,"SP,RP",73.3,68,4,0,4.23,1.32,35,71,26,9,29,10,4,0,0%
Tyler Kinley,ATL,RP,61.9,67,3,1,4.1,1.29,28,54,26,8,63,0,3,0,0%
Brant Hurter,DET,"SP,RP",53.8,48,3,0,3.72,1.24,22,50,17,5,45,0,3,0,1%
Tommy Nance,TOR,RP,55.5,53,3,0,3.79,1.26,23,52,17,6,53,0,3,0,0%
Mason Montgomery,PIT,RP,61.0,66,3,1,3.96,1.32,27,55,26,7,58,0,3,0,1%
Erik Sabrowski,CLE,RP,59.2,72,3,1,3.89,1.36,26,47,34,6,58,0,3,0,1%
Spencer Arrighetti (HOU - SP) MiLB,,,90.7,90,5,0,4.6,1.37,46,84,40,14,25,15,6,0,1%
A.J. Puk (ARI - RP) IL60,,,34.8,40,2,5,3.41,1.16,13,29,11,4,34,0,1,0,1%
Hoby Milner,CHC,RP,61.3,52,3,0,3.85,1.27,26,60,18,6,62,0,3,0,0%
Kody Funderburk,MIN,RP,61.2,58,3,3,3.89,1.34,26,57,25,5,58,0,3,0,0%
Greg Weissert,BOS,RP,64.3,57,4,1,4.17,1.31,30,62,23,8,65,0,3,0,1%
Braydon Fisher,TOR,RP,51.2,58,3,0,3.8,1.28,22,42,23,6,51,0,2,0,1%
Logan Allen (CLE - SP) MiLB,,,113.5,91,6,0,4.54,1.41,57,116,44,16,25,20,8,0,0%
Jack Dreyer,LAD,"SP,RP",52.2,51,3,0,3.85,1.24,22,46,19,6,51,0,2,0,2%
Mick Abel,MIN,SP,114.7,104,6,0,4.64,1.42,59,111,52,15,29,21,7,0,8%
Mason Englert,TB,RP,60.0,56,3,0,4.07,1.25,27,57,18,8,53,0,3,0,0%
Matt Festa,CLE,RP,59.2,58,3,0,4.06,1.26,27,53,22,7,60,0,3,0,0%
Lance McCullers Jr.,HOU,SP,99.5,96,6,0,4.55,1.44,50,94,49,13,27,18,6,0,1%
Yennier Cano,BAL,RP,58.3,54,3,1,3.83,1.31,25,55,21,6,61,0,3,0,0%
Hogan Harris,ATH,RP,66.2,64,3,10,4.37,1.4,32,61,31,8,57,0,3,0,2%
