key_fangraphs,key_mlbam
24336,679032.0
26548,682668.0
28820,694208.0
24622,680837.0
26149,666150.0
25055,681987.0
19955,666158.0
19260,641584.0
13355,571912.0
25779,686475.0
9874,518934.0
31595,686797.0
27506,673490.0
14111,606992.0
2396,467793.0
16725,624431.0
20017,670156.0
26374,670224.0
19452,668670.0
31665,690976.0
22458,670764.0
21646,665561.0
21496,663604.0
9774,543877.0
20450,676551.0
25543,686676.0
26143,687859.0
17901,643217.0
21501,663616.0
33704,692216.0
2967,502054.0
18054,664059.0
28312,691723.0
13324,545121.0
34979,695681.0
18015,657557.0
18848,650968.0
19354,670042.0
33541,686611.0
31765,805373.0
23800,678009.0
19514,668800.0
31357,701675.0
26253,669194.0
31567,702358.0
16398,640459.0
24589,680700.0
27931,690984.0
25971,682634.0
22541,671655.0
13145,605137.0
15679,642133.0
13755,621512.0
19877,656484.0
31562,701305.0
33280,694728.0
19802,640902.0
21716,665839.0
16622,649966.0
24273,678894.0
27630,679845.0
31500,690022.0
21707,665828.0
23986,678554.0
20536,660644.0
19966,666915.0
26208,666149.0
31545,687551.0
26284,670231.0
27531,666152.0
21871,666464.0
29487,694362.0
18217,664954.0
15172,641313.0
22766,672642.0
29949,672012.0
10655,542963.0
17954,656541.0
21626,665052.0
20404,676724.0
21853,666181.0
26546,682663.0
21497,663609.0
13338,553882.0
31855,687515.0
29554,680728.0
19562,670097.0
23691,677588.0
29573,695257.0
29606,669234.0
20311,667452.0
16153,596103.0
25999,683748.0
15161,641598.0
8623,456781.0
31991,804668.0
19858,650859.0
29571,694374.0
28142,691373.0
22707,672569.0
21558,663837.0
22054,667472.0
20003,669374.0
21587,663967.0
20321,656413.0
29547,669208.0
21780,665923.0
27915,696030.0
33252,691720.0
13768,608671.0
15055,624513.0
27496,683357.0
10200,571466.0
23733,677649.0
17684,605353.0
18551,645305.0
23250,675915.0
26244,685744.0
25621,682868.0
20626,682515.0
25353,683021.0
22232,669200.0
24655,680911.0
29958,695670.0
21489,663584.0
21547,663796.0
22168,668731.0
16451,641645.0
12317,607067.0
17735,641302.0
18067,596117.0
19824,642020.0
22286,669432.0
24400,679631.0
25005,681909.0
25448,675659.0
30146,683004.0
35324,829272.0
25714,688760.0
11442,596142.0
13590,608385.0
9847,457705.0
26368,668709.0
31837,807799.0
22275,669394.0
27963,691185.0
21897,666624.0
25483,686765.0
19953,666139.0
18042,664238.0
26540,682657.0
11489,572191.0
14712,622534.0
24782,681584.0
25705,687957.0
21635,665155.0
26224,687231.0
18821,640492.0
27735,689172.0
21622,664983.0
27504,694377.0
31382,687221.0
24641,680862.0
19599,676801.0
31564,702176.0
22557,672279.0
19643,669288.0
24597,680716.0
16953,644433.0
29617,680779.0
18353,663662.0
22411,670276.0
19779,680118.0
31793,689041.0
5273,506702.0
27599,674441.0
27497,682997.0
30163,693409.0
27501,679822.0
25660,686823.0
12155,592696.0
19314,622268.0
22274,669392.0
12147,605113.0
16417,642727.0
16925,605244.0
23788,677941.0
25814,667690.0
27763,691011.0
28344,691907.0
31792,805249.0
31394,681460.0
26467,682641.0
28022,700337.0
5827,527038.0
22263,669357.0
33644,692225.0
19960,666211.0
29830,676466.0
10472,571771.0
18363,645302.0
22209,669087.0
10231,578428.0
19458,669450.0
19252,624415.0
23917,678391.0
23802,678011.0
19958,666198.0
15654,641856.0
27573,669398.0
33390,805811.0
23378,676480.0
23442,676679.0
21735,665861.0
19262,641658.0
25805,666165.0
21535,663731.0
23818,678225.0
22165,668723.0
22566,672359.0
10441,572138.0
16219,605204.0
23790,677943.0
25980,683090.0
19566,663993.0
15711,641933.0
14221,624585.0
21523,663697.0
16426,642731.0
31680,702284.0
25855,685301.0
29634,695238.0
5235,457759.0
25629,683227.0
7739,518595.0
26599,682729.0
19997,669289.0
19890,656896.0
29993,691781.0
30038,700246.0
12180,595751.0
15730,642180.0
28824,694212.0
17040,645444.0
17907,663898.0
30028,676044.0
12158,605131.0
29766,680869.0
20970,660757.0
12434,607680.0
26295,686554.0
27770,691728.0
31661,689200.0
25524,668845.0
17975,664068.0
20557,680769.0
27789,694376.0
31437,690291.0
23782,677870.0
26148,663536.0
25183,682183.0
19339,670032.0
16623,656185.0
26536,682653.0
23395,676572.0
10243,545341.0
18373,663624.0
19358,642215.0
29779,691777.0
27845,670223.0
22530,671286.0
20126,666185.0
10681,570482.0
20529,666134.0
27684,686681.0
18171,664913.0
13757,621035.0
25434,669717.0
21797,665953.0
12037,542932.0
23372,676439.0
16357,622569.0
19600,650559.0
23312,676116.0
15941,543592.0
20538,669304.0
20056,676701.0
31354,699625.0
23968,678489.0
33098,676812.0
25688,687478.0
25690,687529.0
19198,493329.0
29782,694359.0
29614,677060.0
25867,668952.0
17452,642350.0
22217,669134.0
19294,669256.0
30063,671976.0
22842,672744.0
16930,641680.0
29704,690924.0
12005,605361.0
27482,690987.0
28816,694203.0
29976,691783.0
24770,681546.0
22244,669261.0
22558,672284.0
31522,671284.0
16939,657041.0
4940,518792.0
17273,622761.0
23695,677592.0
19384,670092.0
20287,666163.0
27493,677956.0
15429,592178.0
19931,663897.0
22505,671083.0
11737,592206.0
16376,624424.0
30011,687952.0
