Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Dan Hammer,NYM,0,0,0,4.67047,1,0,0,0,,1.25098,6,1,1,1,0,1,0.0,0,1,8.55767,5.86013,1.46032,1.24135,0.195632,0.133965,0.06166680157184601,0.239633,1.64499,0.27984,0.742612,,,5.16547,-0.0087471,-0.034733,999.0,,,,,,,5.65721950531006,4.522246049721631,5.254878044128418,4.200623902700452,,,,,,,,,,,,,,,,,,,Mets,sa3011525,669285
Marquis Grissom Jr.,WSN,0,0,0,5.18459,1,0,0,0,,1.23039,5,1,1,1,0,1,0.0,0,1,6.373,3.69936,1.72273,1.39633,0.165527,0.0960842,0.06944320350885391,0.263949,1.41873,0.288558,0.657117,,,5.11629,-0.00874734,-0.0345402,999.0,,,,,,,5.504883885383606,4.474097777044017,5.151948571205139,4.187249382512227,,,,,,,,,,,,,,,,,,,Nationals,sa3020312,671726
Case Matter,TEX,0,0,0,4.85459,1,0,0,0,,1.00779,5,1,1,1,0,1,0.0,0,1,8.75885,5.6671,1.54556,1.39115,0.193111,0.124945,0.06816543638706207,0.247403,1.70521,0.286057,0.749639,,,5.27515,-0.00876409,-0.0490784,999.0,,,,,,,3.8576263666152957,3.827817821598539,4.038936734199524,4.007727172666261,,,,,,,,,,,,,,,,,,,Rangers,sa3023085,811318
Danny Wilkinson,,0,0,0,4.87562,1,0,0,0,,1.32781,6,1,1,1,0,1,0.0,0,1,9.66787,5.56049,1.73867,1.47564,0.236486,0.136015,0.10047067701816559,0.231088,1.51131,0.277569,0.717462,,,5.14608,-0.00878317,-0.0280038,999.0,,,,,,,6.2257837772369395,4.688765903671117,5.639043092727661,4.246879417686421,,,,,,,,,,,,,,,,,,,,sa3020747,700673
Indigo Diaz,ARI,0,0,0,5.06004,1,0,0,0,,1.24359,5,1,1,1,0,1,0.0,0,1,6.55199,4.18485,1.56565,1.3667,0.174574,0.111503,0.0630711242556572,0.249855,1.37825,0.27435,0.655578,,,5.19819,-0.00879958,-0.0370618,999.0,,,,,,,5.602598619461061,4.505165497095196,5.217972040176392,4.195879304748665,,,,,,,,,,,,,,,,,,,Diamondbacks,sa3011726,666301
Daniel Camarena,,0,0,0,5.42079,1,1,0,0,,2.17852,10,2,1,1,0,1,0.0,0,1,5.04072,3.95641,1.27406,1.53502,0.118649,0.0931267,0.025522537529468536,0.269892,1.58047,0.27751,0.687654,,,5.71223,-0.00880934,0.0331619,999.0,,,,,,,9.921035385131837,4.5540289501309354,9.89259147644043,4.540972411311441,,,,,,,,,,,,,,,,,,,,14467,547176
Brendan Cellucci,TOR,0,0,0,4.86218,1,0,0,0,,1.65263,8,2,1,1,0,1,0.0,0,2,8.65583,5.58885,1.54877,1.16444,0.202,0.130426,0.07157354056835175,0.252985,1.6532,0.302052,0.722209,,,4.9367,-0.00882189,-0.0110253,999.0,,,,,,,8.029487371444706,4.858601570449276,9.263167142868042,5.605094864178744,,,,,,,,,,,,,,,,,,,Blue Jays,sa3011710,676454
Caleb Baragar,,0,0,0,4.83133,1,0,0,0,,1.3801,6,1,1,1,0,1,0.0,0,1,8.2791,4.43423,1.86709,1.49605,0.200171,0.10721,0.09296078234910965,0.245603,1.487,0.279539,0.718086,,,5.0977,-0.00882693,-0.0283151,999.0,,,,,,,6.6127189159393325,4.791487984808624,5.9004857540130615,4.275413329113507,,,,,,,,,,,,,,,,,,,,19231,670056
Hamlet Garcia,MIA,0,0,0,6.03232,1,1,0,0,,4.0125,16,4,3,3,1,2,0.0,0,2,4.00142,4.0797,0.980812,1.24357,0.110634,0.112798,-0.0021643415093421936,0.286639,1.46142,0.296479,0.575211,,,5.54715,-0.00882804,-0.0391319,999.0,,,,,,,4.992498588562016,1.2442364675093556,5.062499046325684,1.2616820652890817,,,,,,,,,,,,,,,,,,,Marlins,sa3021022,808697
Javier González,BAL,0,0,0,5.61798,1,1,0,0,,2.94615,14,3,2,2,0,1,0.0,0,2,5.55602,4.41829,1.2575,1.44147,0.134341,0.106831,0.02750936895608902,0.275067,1.60494,0.291476,0.668609,,,5.6185,-0.00883565,-0.0208336,999.0,,,,,,,15.001538705825805,5.091906031084242,15.730769395828247,5.339425583664082,,,,,,,,,,,,,,,,,,,Orioles,sa3022135,808374
