Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kyle Hendricks","LAA",4.9214,8.22886,6.54898,5.0396,21.6436,21.6436,0,0,0,116.117,502.245,126.379,70.674,65.0201,19.2265,33.5553,0.622589,4.41186,80.7677,6.26017,2.60082,2.407,1.49021,0.160813,0.0668106,0.09400255978107452,0.272206,1.37736,0.294146,0.671044,,,4.90878,0.773894,0.182157,699.9099731445312,2.45277,-0.606075,1.12972,2.45277,0.606075,3.49371,345.1,2.975,381,3.2844827586206895,,,,,,,,,,,,,,,,,,,"Kyle Hendricks","12049",543294
"Lucas Erceg","KCR",3.59141,3.51621,0,3.53513,60.8353,0,13.7416,14.9761,4.25227,64.7844,273.632,55.8005,27.6596,25.4468,4.97658,24.2631,1.34039,4.71369,73.6037,10.2252,3.37069,3.03356,0.691359,0.268988,0.0886707,0.18031737208366394,0.228078,1.23585,0.306031,0.716917,,,3.23469,0.773822,0.605981,200.77999877929688,2.76562,-0.460134,1.1051,2.76562,0.460134,3.52653,464.9,7.152307692307692,451,6.938461538461539,,,,,,,,,,,,,,,,,,,"Lucas Erceg","19360",668674
"Colin Rea","CHC",7.07371,6.97798,6.25105,4.58195,29.0753,18.5659,0.16855,0.531143,0,116.283,493.754,117.815,64.3483,59.2004,18.3267,32.0652,1.01379,5.48918,92.4255,7.15347,2.48176,2.88242,1.41843,0.187189,0.0649417,0.1222476065158844,0.258254,1.28893,0.287999,0.688537,,,4.59454,0.769178,0.689524,594.8099975585938,2.25552,0.678462,0.749229,2.25552,-0.678462,4.00103,407.2000000000001,3.510344827586208,423,3.646551724137931,,,,,,,,,,,,,,,,,,,"Colin Rea","12317",607067
"Andrés Muñoz","SEA",3.83814,3.78662,0,2.7311,57.3745,0,26.6193,4.38637,4.95597,59.6333,243.487,43.5756,19.6696,18.0961,4.86096,23.1562,1.93567,3.31652,76.116,11.4876,3.4948,3.28706,0.733629,0.312608,0.0951025,0.21750514954328537,0.200796,1.11904,0.284588,0.785332,,,3.00514,0.764365,1.00807,61.90999984741211,2.07149,-0.0449294,1.87852,2.07149,0.0449294,2.4953,493.1,8.218333333333334,460,7.666666666666667,,,,,,,,,,,,,,,,,,,"Andres Munoz","20373",662253
"Andrew Painter","PHI",3.52154,2.75739,3.78373,4.22825,15.7586,10.4421,0,0.439294,0,61.3901,259.09,56.259,31.3494,28.8414,8.19957,21.742,0.439489,2.62805,60.2942,8.83934,3.18745,2.77317,1.20208,0.232715,0.0839167,0.14879829436540604,0.239685,1.27058,0.28912,0.7013,,,4.12944,0.759224,0.661612,999,3.67228,0.823703,0.480079,3.67228,-0.823703,4.35989,252.40000000000012,4.137704918032789,246,4.032786885245901,,,,,,,,,,,,,,,,,,,"Andrew Painter","sa3017880",691725
"Raisel Iglesias","ATL",4.61682,2.92201,0,3.15085,64.3604,0,33.792,0.721894,4.4156,66.6381,268.906,56.5833,25.3583,23.3297,7.18784,16.0412,1.58705,2.36424,71.8951,9.71,2.16649,4.48191,0.970774,0.267362,0.0596536,0.20770828053355217,0.225881,1.08983,0.288159,0.755515,,,3.23953,0.741876,1.08043,52.5,2.47681,0.374178,2.22819,2.47681,-0.374178,2.02908,525.5,7.843283582089552,508,7.582089552238806,,,,,,,,,,,,,,,,,,,"Raisel Iglesias","17130",628452
"Devin Williams","NYY",4.72255,2.9952,0,2.86627,55.7659,0,31.351,2.07811,3.89343,58.2956,239.879,40.1837,20.1801,18.5656,5.1263,27.0828,1.25376,3.03683,79.2962,12.2422,4.1812,2.92792,0.791428,0.330568,0.112902,0.21766571700572968,0.19157,1.15389,0.279705,0.783603,,,3.13918,0.734119,1.06444,40.86000061035156,3.84753,0.488494,2.05399,3.84753,-0.488494,2.26135,494.70000000000005,8.529310344827588,456,7.862068965517241,,,,,,,,,,,,,,,,,,,"Devin Williams","15816",642207
"Jeremiah Estrada","SDP",4.11228,2.89037,0,3.31192,58.6567,0,3.64574,16.6581,2.21678,60.5277,250.305,46.5765,24.2105,22.2737,6.76532,25.5441,1.56354,2.04842,83.1676,12.3664,3.79821,3.25584,1.00595,0.332265,0.102052,0.23021329194307327,0.209133,1.19153,0.29983,0.764736,,,3.23903,0.723312,0.806937,442.1000061035156,2.13129,-1.48427,0.747035,2.13129,1.48427,4.00395,413.1000000000001,6.772131147540985,384,6.295081967213115,,,,,,,,,,,,,,,,,,,"Jeremiah Estrada","22210",669093
"A.J. Puk","ARI",4.46183,4.01727,0,3.35635,59.5178,0.212565,13.2415,11.7928,3.56684,62.9247,259.35,52.2574,25.5069,23.4664,6.38024,21.1623,1.65186,2.94434,75.1807,10.7529,3.02681,3.55257,0.912553,0.289881,0.0815974,0.2082831934094429,0.222141,1.16679,0.298518,0.742979,,,3.24438,0.723068,0.769635,237.89999389648438,3.54331,-1.00934,1.04868,3.54331,1.00934,3.60176,448.2000000000001,7.114285714285716,428,6.7936507936507935,,,,,,,,,,,,,,,,,,,"A.J. Puk","19343",640462
"Kyle Wright","KCR",4.97237,4.64475,4.52387,4.32144,25.5203,11.3294,0,0.535471,0,74.9089,323.405,74.32,39.0959,35.9682,8.79095,26.4958,0.365235,4.60455,65.7116,7.89499,3.18336,2.48008,1.0562,0.203187,0.0819275,0.12125919759273529,0.254255,1.34585,0.300865,0.697333,,,4.18318,0.721339,0.595746,696.030029296875,2.07843,-1.92103,0.262075,2.07843,1.92103,4.65057,294.9,3.9319999999999995,301,4.013333333333334,,,,,,,,,,,,,,,,,,,"Kyle Wright","19665",657140
